Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
YAMAHA,Yamaha FS100C Acoustic Guitar,"9,489",7 days Replacement,"Monday, 15 May",Only 2 left in stock,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sr_1_27?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-27
ESH Creations,ESH Creations E39CHEQ High Gloss Semi Acoustic Guitar with Foam Padded Bag,"5,397",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/ESH-Creations-E39CHEQ-Acoustic-Strings/dp/B0BMVQL5J3/ref=sr_1_28?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-28
Intern,INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof body,"2,513",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Cutaway-Acoustic-Humidity-resistance-resonance/dp/B09RRH7R5F/ref=sr_1_29?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-29
-,JUAREZ Acoustic Guitar 3xE 1st String & 2 Pick Set JRGSE32,84,7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/JUAREZ-Acoustic-Guitar-String-JRGSE32/dp/B08MW1WPW5/ref=sr_1_30?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-30
YAMAHA,YAMAHA JR2 NATURAL GUITAR,"12,741",7 days Replacement,"Sunday, 14 May",Only 2 left in stock,https://www.amazon.in/Yamaha-WW36280-YAMAHA-NATURAL-GUITAR/dp/B0042HTCJW/ref=sr_1_31?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-31
YAMAHA,Yamaha FS100C,"11,593",7 days Replacement,"Monday, 15 May",In stock,https://www.amazon.in/FS100C-6-Strings-Acoustic-Plectrums-Natural/dp/B085MDF8D4/ref=sr_1_32?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-32
YAMAHA,Yamaha F310,"9,362",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Yamaha-F310-Acoustic-Guitar-Natural/dp/B08Z3C1GRM/ref=sr_1_33?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-33
Intern,Intern INT-38C 38 Incheses basswood-BLS-G Cutaway Right HAnded Acoustic Guitar Kit,"2,299",7 days Replacement,"Monday, 15 May",In stock,https://www.amazon.in/Intern-INT-38C-BLS-G-Guitar-Kit-Blue/dp/B07K8YXTNW/ref=sr_1_34?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-34
Intern,Intern INT-38C Lindenwood Acoustic Guitar Kit (Sunburst) With Carry Bag,"2,387",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Sunburst/dp/B073B5MJRM/ref=sr_1_35?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-35
JUAREZ,Juârez Acoustic Guitar,"2,876",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDW2/ref=sr_1_36?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-36
Kadence,Kadence Frontier Series,"4,999",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Natural-Equalizer/dp/B01I50UJG6/ref=sr_1_37?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-37
JUAREZ,Juarez JRZ-ST01 38 Inches Wood 6-String Electric Guitar,"5,749",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOGM/ref=sr_1_38?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-38
Blueberry,Blueberry 38 Inch D38S Acoustic Guitar Kit Inbuilt Truss Rod,"2,849",7 days Replacement,"Monday, 15 May",Only 1 left in stock,https://www.amazon.in/Blueberry-Acoustic-Guitar-Inbuilt-Strings/dp/B07PHZ16BG/ref=sr_1_39?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-39
VAULT,Vault EA20CE Electro Acoustic Guitar Kit with Learn to Play Ebook,"5,499",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Cutaway-Electro-Acoustic-Strings-Polishing/dp/B093VHQZGD/ref=sr_1_40?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-40
Intern,Intern INT-38C Acoustic Guitar Kit (Blue),"2,030",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_41?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-41
Blueberry,Blueberry B40L,"4,270",7 days Replacement,"Monday, 15 May",In stock,https://www.amazon.in/Blueberry-Acoustic-Inbuilt-Strings-Classic/dp/B09VLF8B8G/ref=sr_1_42?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-42
Intern,INTERN 41 inches Acoustic Guitar with truss rod. Includes carry bag,"3,231",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/Acoustic-strings-plectrums-stability-age-groups/dp/B09YHC3LX6/ref=sr_1_43?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-43
YAMAHA,Yamaha 22.8 Inches Merantiwood Classical Guitar C40//02 (Brown),"7,950",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/Yamaha-Classical-Guitar-C40-02/dp/B003UGCUFE/ref=sr_1_44?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-44
Intern,Intern INT-38C-NT-G 38 Incheses lindenwood Right HAnded Acoustic Guitar Kit With Bag,"2,372",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-INT-38C-NT-G-Guitar-Kit-Natural/dp/B07K9MZZH9/ref=sr_1_45?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-45
Medellin,"Medellin 38"" Acoustic Guitar Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest","2,349",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Medellin-Acoustic-specailized-learning-beginners/dp/B09MSGN39M/ref=sr_1_46?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-46
VAULT,Vault Traveller 34 Inch Acoustic Guitar With Truss Rod,"4,084",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Traveller-Acoustic-Guitar-Strings-Polishing/dp/B07RK9962M/ref=sr_1_47?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-47
DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH Guitar Tuner Clip on Chromatic Digital Tuner with Guitar Capo Metal Alloy Spring Guitar Capotastos for Acoustic Guitar,449,7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/DEVICE-URBAN-INFOTECH-Chromatic-Capotastos/dp/B0BGBGDW1W/ref=sr_1_48?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-48
MUSTANG,Tagima Junior 30 Inch Acoustic Guitar for Kids,"1,290",-,"Sunday, 14 May",In stock,https://www.amazon.in/Tagima-Junior-Inch-Acoustic-Guitar/dp/B0BTBWJTGH/ref=sr_1_49?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-49
JUAREZ,Juarez Acoustic Guitar,"2,665",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B084VRCCN7/ref=sr_1_49?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-49
JUAREZ,Juarez Acoustic Guitar,"2,665",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Acoustic-Cutaway-3TS-Strings-Sunburst/dp/B098BD1MHM/ref=sr_1_50?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-50
